Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
16:01:12,2023-06-04,847085739,690193567,233.93,Indian rupee,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
23:42:39,2023-01-06,583131476,2301748733,4833.42,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
22:59:16,2023-03-28,5874369285,8215641702,11552.58,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
09:08:20,2023-05-29,7870989609,5841005488,825.51,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
02:39:01,2023-05-26,9522916824,7568788724,8902.27,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
19:16:18,2023-08-10,9315241743,9147093473,4402.61,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Plus_Mutual
10:09:29,2023-04-02,8481240670,3669220673,4584.07,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
19:22:26,2023-08-19,7744210851,5223821156,50718.48,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
09:34:47,2023-07-17,9763054142,5101610961,21654.44,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
14:08:43,2022-12-11,6815112627,2752385454,8944.18,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
11:32:44,2022-12-31,3059094937,5011179406,1511.3,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
08:07:53,2023-02-12,5469471854,2353971569,9984.33,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
18:40:00,2022-10-19,65377125,9233109639,1277.95,Naira,UK pounds,Nigeria,UK,Cross-border,0,Normal_Small_Fan_Out
08:24:20,2022-11-22,7147057024,7006828486,11356.46,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
22:44:55,2023-02-14,5657876594,6241192866,6152.95,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
02:01:45,2023-03-31,9623141264,4769682307,6378.12,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Periodical
21:24:04,2023-01-17,5347406840,1666839203,18503.74,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
18:02:16,2023-03-21,3387123939,3641652530,7298.97,UK pounds,Euro,UK,France,Cross-border,0,Normal_Fan_Out
21:07:05,2022-11-19,3359716520,448328324,10671.41,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
19:47:03,2023-03-30,2960052525,3864221238,4065.17,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
19:32:29,2022-11-29,8521707885,2419449760,18165.49,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
12:40:20,2023-01-04,425739440,7380207773,5582.98,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
15:36:57,2023-07-13,6342796711,9310436713,7700.92,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
16:29:48,2023-08-12,5742026052,772587436,3760.31,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
17:05:17,2023-06-05,4162246945,6732741468,336.37,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
15:58:41,2022-11-06,8654113725,8509793907,1805.13,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
23:13:01,2022-11-07,6443488106,9588215440,7689.38,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
15:00:39,2023-08-06,366504489,6209440875,3273.37,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
05:30:15,2023-03-03,9228918394,3410391245,6984.71,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
20:51:35,2022-12-02,8978349640,6432499170,9104.5,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
19:57:32,2023-03-05,8012187181,6200312003,7141.93,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
11:37:21,2023-06-11,6073085666,117903170,7975.36,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
17:45:28,2022-11-23,1862437756,2746139186,7000.55,UK pounds,Euro,UK,Austria,Cross-border,0,Normal_Fan_In
12:58:16,2023-03-11,1997588689,5970591639,3069.19,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
21:11:18,2023-04-02,7321429671,26018944,549.59,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
21:42:42,2023-01-02,8020087884,6239754163,17276.56,UK pounds,Euro,UK,Spain,Cross-border,0,Normal_Fan_In
08:11:25,2022-12-23,477738136,5832700297,10020.73,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
14:28:44,2022-10-08,7281632640,5806969213,14582.61,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
23:37:04,2023-05-30,4748837544,4591340863,10251.62,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
13:38:27,2023-08-15,5855671365,5520840915,13346.31,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
12:24:26,2023-05-11,1584692715,3740299688,8881.03,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
19:53:11,2023-06-03,756981506,5630257379,332.95,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
08:18:33,2023-04-18,664454942,2643645453,6529.7,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
17:46:05,2023-01-20,9797341401,546779631,4753.1,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
09:22:11,2023-06-23,5510973979,7669719253,22682.56,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
08:20:21,2023-07-16,478240506,1623849740,3472.57,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
13:43:43,2023-07-07,573868190,8513630384,2460.55,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
21:59:50,2023-06-21,1219588909,9247926240,652.55,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
12:32:35,2023-06-20,7864256019,5605702758,32490.37,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
20:18:34,2023-05-26,4150062579,3374727825,12756.41,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
14:02:52,2023-02-26,158790502,819128962,1767.25,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
18:14:32,2023-01-05,9965638917,7791379363,7835.64,UK pounds,US dollar,UK,USA,Cross-border,0,Normal_Fan_In
11:53:45,2023-05-19,2366440062,8873730677,7896.18,UK pounds,Mexican Peso,UK,UK,Debit card,0,Normal_Small_Fan_Out
13:53:40,2023-03-06,8864419565,5062364892,8146.88,UK pounds,Euro,UK,Italy,Cross-border,0,Normal_Fan_In
13:24:01,2023-05-20,1939527512,3499342766,382.89,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
13:06:27,2023-06-16,9448222184,2203052696,3837.72,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Plus_Mutual
19:19:10,2023-02-15,297188083,7458790577,507.41,UK pounds,Albanian lek,UK,Albania,Cross-border,0,Normal_Small_Fan_Out
13:04:25,2023-02-22,7234544398,7952527855,6256.21,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
08:05:09,2022-10-15,1485043809,8396712185,9574.52,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
01:01:39,2023-08-14,818830460,3144426548,311.02,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
17:12:59,2023-01-28,7375986317,882465970,1158.09,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
19:20:03,2023-07-04,3810395370,5628275274,4996.23,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
18:35:21,2023-03-23,2286638446,4676033282,19286.95,UK pounds,Euro,UK,Spain,Cross-border,0,Normal_Fan_In
08:22:44,2023-06-09,8333337272,606175918,507043.35,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_single_large
21:30:49,2023-01-15,9159256096,4003901739,9504.69,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
10:53:31,2023-03-25,9633116656,5066218604,1765.17,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
18:54:23,2023-07-26,6451262015,9791015437,18957.88,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
09:07:29,2022-10-12,3105236538,4281240746,12689.41,Swiss franc,Indian rupee,Switzerland,India,Cross-border,0,Normal_Fan_Out
18:23:54,2023-03-22,1694985383,3784448559,4924.8,UK pounds,Dirham,UK,UAE,Cross-border,0,Normal_Fan_Out
19:03:30,2023-02-01,4237560221,9851518634,3307.1,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
23:02:25,2023-05-12,3106653654,352366472,9006.76,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
14:19:53,2023-07-21,5814936165,7093478091,14181.7,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
06:01:43,2023-01-27,1241104781,5297253641,10486.85,UK pounds,Naira,UK,Nigeria,Cross-border,0,Normal_Fan_In
16:38:44,2023-06-19,720754514,7145837102,1445.45,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
19:59:24,2022-11-24,30094593,4902078283,4557.58,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
12:33:26,2023-08-02,848681361,6604065657,5713.93,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
14:38:01,2023-01-16,2465388268,4394577492,8262.12,UK pounds,Moroccan dirham,UK,Morocco,Cross-border,0,Normal_Fan_In
15:49:02,2023-05-25,579149782,9673144755,14186.11,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
00:32:10,2023-06-06,8049091990,5715254851,23454.17,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
07:09:53,2023-07-03,2487664626,6788619639,868.22,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
03:54:01,2023-05-29,3077051952,1590952875,6221.45,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
12:04:57,2022-11-07,3594924262,4752788214,5494.15,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
12:53:58,2023-03-22,284247181,3280590413,26798.91,Euro,UK pounds,Austria,UK,Cross-border,0,Normal_Fan_In
17:01:52,2023-05-17,774850776,7564862914,7844.81,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
16:59:42,2023-04-18,5898603282,2261804482,8232.88,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
10:27:19,2022-11-25,809323614,5370962965,9818.48,US dollar,Swiss franc,USA,Switzerland,Cross-border,0,Normal_Fan_Out
16:04:02,2022-10-22,8986192248,5167132517,11521.3,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
22:04:51,2023-04-28,3150725826,5446786799,1145.14,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
02:50:19,2022-12-07,4616779714,7443032557,73.67,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
20:49:25,2023-01-10,674433873,2089699155,9491.28,UK pounds,Turkish lira,UK,Turkey,Cross-border,0,Normal_Fan_Out
20:24:07,2022-11-18,3003565863,4425063499,1003.24,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
07:54:29,2023-04-07,3459228011,3155498178,2255.07,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
11:39:54,2023-08-18,4598167628,6319122359,6542.71,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
23:20:41,2023-01-26,5892376963,4498251595,8843.17,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
23:37:58,2023-06-05,942615773,6087737011,4790.41,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
14:28:14,2023-08-08,7960875619,7264688969,1886.05,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
07:30:39,2023-07-07,354296803,5360911506,2407.08,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
18:41:54,2022-12-30,6590264369,4957296168,24547.73,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Periodical
16:08:14,2022-10-30,1521199859,9984238497,2433.2,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
19:16:53,2022-11-20,2306877940,6123404795,11084.78,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
13:19:12,2022-10-28,3309575735,6132154398,6290.26,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
09:41:21,2023-07-08,1854208703,8918255351,4126.23,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
12:23:54,2023-02-04,38578336,3278882945,8410.93,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
20:23:43,2023-08-08,4032699000,2667868513,5671.7,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
13:55:31,2023-07-13,4718546599,8477754481,375.38,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
19:05:01,2022-11-06,1129649621,2274065691,1959.19,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
02:05:51,2023-02-18,1006504599,5147534206,9731.78,Euro,UK pounds,Germany,UK,Cross-border,0,Normal_Fan_Out
21:51:33,2023-02-23,7689962249,2999155923,399.31,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
20:28:44,2022-10-16,8522090581,5341573300,1706.1,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
22:59:07,2023-05-23,2342278155,1481680889,9990.39,Dirham,UK pounds,UAE,UK,Cross-border,0,Normal_Fan_In
11:35:57,2023-03-29,9433797866,7258397253,1459.03,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
23:48:15,2022-11-24,554089014,2213175372,1062.64,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
03:12:24,2023-02-13,1566977645,3423018133,8971.21,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
16:09:34,2023-04-12,5849199696,3513694120,263.93,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
10:01:07,2023-02-03,3778307896,6656461502,8148.75,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
12:49:30,2023-04-17,2805870923,86927172,2786.06,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
22:23:13,2023-03-03,3040160975,2737310680,3483.73,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Periodical
22:36:15,2023-02-02,9124460602,2344021991,1401.95,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
22:43:03,2023-04-03,9313124846,4580738568,8621.18,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
05:00:07,2022-11-24,4035439288,5206222608,5194.92,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
17:44:04,2022-12-19,87331769,4051915321,57127.96,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Mutual
21:54:48,2023-02-27,1132272920,6763301886,130.81,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
19:23:27,2023-03-14,3511601905,7192251944,17874.73,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
04:56:16,2022-11-30,9909686742,5903797995,9042.26,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
08:43:03,2023-02-15,671335523,90621260,4420.13,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
16:11:27,2023-01-04,3779085370,9870664384,2138.03,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
22:50:25,2022-12-05,7745777825,8613578765,15149.43,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
09:19:30,2023-07-29,4193001194,8664079336,8349.91,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
14:18:27,2022-10-24,6447730296,2843358233,20047.84,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
09:52:11,2023-02-01,9477197803,4367921306,12176.62,UK pounds,Euro,UK,Austria,Cross-border,0,Normal_Small_Fan_Out
23:10:58,2022-11-05,7039652014,6491472115,5583.02,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
10:44:57,2023-04-18,5872512221,8418576968,17017.07,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
08:45:26,2023-05-30,1022576820,8340015201,10279.76,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
22:17:01,2023-01-26,9221298773,4403698725,7184.11,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
19:13:56,2022-12-11,1728063182,2122910341,10993.3,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
21:00:27,2023-07-27,7551489862,3940800086,162.25,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
14:54:28,2023-04-12,884222528,5587511192,4927.67,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
11:46:35,2023-05-26,1007081918,7979675018,7336.96,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
11:52:12,2023-06-15,6016933486,7111854392,676.1,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:16:46,2023-01-10,7286271407,9908672136,1935.99,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
15:07:52,2022-10-17,3374165616,7635841722,1110.86,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:24:13,2022-11-20,5609778476,1657212034,1345.64,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
15:10:46,2023-02-02,8789374426,999506550,9309.65,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
17:44:10,2022-12-06,7866999026,4035690722,2726.36,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
16:48:47,2022-12-15,2323791865,7063779795,6760.74,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
21:57:02,2023-04-22,4545990731,2108430113,911.57,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
21:44:22,2023-02-15,7925254892,9904927214,5462.37,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
21:34:54,2023-05-06,6168420193,8606382013,2097.39,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
22:46:09,2023-02-26,870295474,2602164620,30100.68,Swiss franc,UK pounds,Switzerland,UK,Cross-border,0,Normal_Mutual
14:19:29,2022-11-06,8127400071,9281962824,823.72,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
21:24:15,2023-02-24,2547877698,3607321490,10468.97,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
13:53:20,2023-01-01,884525294,2353567884,5796.88,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
23:50:16,2023-08-10,464659259,7648291450,5704.11,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
13:15:10,2023-03-29,4619052265,916594696,7053.94,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
17:01:07,2023-06-04,5435316010,8890216880,14507.53,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
01:51:52,2022-10-15,2749285893,9978505105,12624.82,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
02:46:11,2023-04-29,3019638463,1664895306,4550.53,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
12:04:50,2023-06-01,3049096318,6004706272,5267.29,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
15:59:30,2023-05-02,2507770186,667479644,16609.81,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
18:20:58,2022-11-05,3806883322,8197302577,8961.0,Indian rupee,UK pounds,India,UK,Cross-border,0,Normal_Fan_In
16:29:51,2022-11-11,697102465,3100902361,3536.77,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
21:23:20,2023-01-03,337343336,3007746055,13459.18,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
11:33:55,2023-06-03,2046540442,6510565170,445.98,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
18:52:44,2023-08-13,5625859799,4235549845,6701.52,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
15:17:17,2023-01-29,7476650733,9883436981,2365.39,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
13:31:17,2023-08-15,6694578479,2412860929,13570.94,Euro,UK pounds,Austria,UK,Cross-border,0,Normal_Fan_Out
13:32:03,2022-10-07,1915450576,2933259781,5875.59,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
21:38:22,2022-11-24,7526198029,9938000886,5652.98,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
05:37:42,2023-01-05,5880165158,6963425798,6466.15,UK pounds,US dollar,UK,USA,Cross-border,0,Normal_Fan_Out
12:47:47,2022-12-06,7122195351,7831977327,2305.88,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
09:38:59,2023-05-18,1059085663,5664594001,1078.02,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
17:30:18,2023-04-11,9800002040,4097215471,1101.05,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
12:02:55,2022-11-06,3908007731,9262624983,4321.23,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
12:01:35,2022-10-18,9876406704,5841673168,4939.85,UK pounds,Euro,UK,France,Cross-border,0,Normal_Fan_In
11:51:52,2022-12-19,7779452261,5451387143,4577.66,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
20:37:17,2023-06-21,2813752107,7983531352,7473.65,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
15:32:16,2023-04-11,1676421981,6683572049,21375.37,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
22:09:12,2023-07-28,7654775842,395587790,8575.21,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
09:33:00,2023-01-28,7573885357,2537003174,10770.25,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
